,price_log
34425,7.749322464660356
35818,8.267448958304849
8215,8.100161446936607
10587,8.063062911326792
36751,8.3243363327069
742,7.937374696163295
4583,8.160518247477505
43103,8.055157731819678
45170,8.116715624819111
13484,8.45531778769815
1310,7.822044008185619
34362,7.937374696163295
8058,7.625595072132453
2421,7.863266724009573
11350,8.055157731819678
43108,7.495541943884256
45480,7.90100705199242
1579,7.822044008185619
36794,8.610319169405722
10973,7.408530566894626
13320,7.813995675002791
34978,7.783224016336037
24239,7.824046010856292
40891,8.517193191416238
5721,7.822044008185619
8170,8.731497794063243
26062,8.242756345714477
28749,8.160518247477505
992,7.649692623711514
28296,7.649692623711514
4754,8.00603417874901
47741,7.824046010856292
28629,8.039157390473237
38201,8.240121298076472
31408,8.338066525518801
8638,7.575584651557793
29072,8.647343875881283
18396,7.919356190660617
30145,7.467371066917559
4217,8.160518247477505
7977,7.861341795599989
30431,7.90100705199242
11273,7.972466015974565
37102,8.698681067461614
43082,7.545918151209323
44114,8.070906088787819
7203,7.824046010856292
29279,8.433811582477187
28412,8.240121298076472
6392,8.517193191416238
19734,7.467371066917559
37694,9.615805480084347
21858,7.972466015974565
27680,8.448914350662942
22317,7.919356190660617
32373,8.262300941787448
7248,7.919356190660617
45773,7.963807953231451
17892,9.287301413112312
24666,7.989560449333865
41482,8.40290404501411
26502,8.101677747454572
44465,8.268731832117737
38423,7.762170607138205
10929,8.294049640102028
38157,8.559294367434873
47945,8.101677747454572
15276,8.366370301681654
940,8.069342366811636
41561,8.365206834418355
37584,8.160518247477505
3888,7.919356190660617
32395,7.501082124259871
4602,7.882314918980268
14502,8.006367567650246
46072,7.857093864902493
48520,7.696212639346407
47003,8.166216268592143
23830,7.470224135899966
25318,7.855544677915663
40322,8.262300941787448
8280,8.517193191416238
10959,8.779557455883728
41025,7.9355873855892
46970,7.955074273262696
26446,8.039157390473237
22374,8.630521876723241
833,8.536995818712418
24788,7.882314918980268
40719,8.070906088787819
15714,7.549609165154532
6909,8.131530710604252
22764,7.346010209913293
15240,8.006367567650246
16602,9.047821442478408
10950,8.187299270155147
5571,7.781138509845015
17898,8.216088098632316
33184,7.824046010856292
15898,8.674196940225903
15018,7.937374696163295
39165,8.699514748210191
45812,8.294049640102028
45769,7.762170607138205
26555,7.955074273262696
2363,7.549609165154532
13823,8.086410275323782
46703,8.817297783866575
37088,8.987196820661973
44173,8.15908865466791
9453,8.25582842728183
19206,8.06054004653864
17356,7.575584651557793
22199,8.069342366811636
48890,8.214735833382303
1637,8.268731832117737
21662,7.955074273262696
25363,8.160518247477505
6424,8.365206834418355
33402,8.587651655064798
6466,8.00469951054955
9278,7.919356190660617
37656,7.955074273262696
37687,7.90100705199242
13414,7.695757990554761
17785,7.824046010856292
32612,9.104424146384634
22667,8.055157731819678
48007,7.803843303538772
28486,7.861341795599989
9016,8.34283980427146
19845,8.1886891244442
33000,8.34283980427146
38197,8.070906088787819
15842,9.433483923290392
47526,8.732304571033183
36654,7.824046010856292
